Brave
Clever
Fierce
Mighty
Happy
Loyal
Bold
Quick
Gentle
Wise
Strong
Patient
Fearless
Friendly
Curious
Calm
Proud
Humble
Generous
Compassionate
Honest
Resourceful
Resilient
Confident
Playful
Kind
Steady
Creative
